NUMBER	CONCEPT	OMAGUA	KOKAMA	TUPINAMBÁ
114	garbage	ɨtɨ	ɨtɨ	ɨtɨ
115	give	mi	mi	meʔeŋa
116	go downriver (intr.)	asɨɾɨka	atsɨɾɨka	sɨɾɨka
117	gourd	kuja	kuja	kuja
118	grab	japiʃika	japitʃika	pɨsɨka
119	grandchild (f. ego)	ɾimiaɾiɾu	ɾimjaɾiɾu	tembiaɾiɾõ
120	grandfather	amui	amwi	amũja
121	grass	kapi	kapi	kapiʔí
122	green	ɨkɨɾa	ɨkɨɾa	kɨɾa
123	grill	juɾa	juɾa	juɾá
124	hammock	ini	ini	inĩ
125	hand	pua	puwa	pó
126	happy	saɾɨwa	tsaɾɨwa	oɾɨβa
127	hard	jumuata	tata	atã
128	head	jakɨ	jakɨ	akaŋa
129	hear (tr.)	sɪnu	tsenu	senduβa
130	heart	ĩja	ija	ɲɨʔa
131	heavy	ipuʃi	iputʃi	posɨja
132	high up (adv.)	ɨwati	ɨwati	ɨβaté
133	hole	kwaɾa	kwaɾa	kwaɾa
134	horn	ijaka	ijaka	aka
135	horsefly	mutuka	mutuka	mutuka
136	house	uka	uka	oka
137	howler monkey	akɨkɨ	akɨkɨ	akɨkɨ
138	hungry	jamaʃi	jamatʃi	ambɨasɨ
139	hurt	saʃi	tsatʃi	asɨ
140	husband	mɪna	mena	mena
141	indigenous person	tapɨja	tapɨja	tapɨʔɨja
142	invite (tr.)	paɾisaɾa	paɾitsaɾa	paɾesaɾa
143	island	ɨpau	ɨpwa	ɨpaʔũ
144	join∼attach	jatɨɾɨ	jatɨɾɨ	atɨɾa
145	kill	ajuka	ajuka	juká
146	knife	kɨʃi	kɨtʃi	kɨsé
147	lake	ɨpasu	ɨpatsu	upaβa
148	land	tujuka	tujuka	tujuka
149	larva	uɾa	uɾa	uɾa
150	late	ɨpɨsa	ɨpɨtsa	pɨsajé
151	leave (tr.)	iʃaɾi	itʃaɾi	sejaɾa
152	leave from (intr.)	uʃima	utʃima	sema
153	liver∼heart	pɨa	pɨa	pɨʔá
154	long	ipuku	ipuku	puku
155	long time ago	ɨmɨnua	ɨmɨnwa	umuã
156	look (intr.)	umai	umi	maʔẽ
157	look for (tr.)	ʃikaɾi	tʃikaɾi	sekaɾa
158	lose way	supaɾa	tsupaɾa	sopaɾa
159	lose oneself	kajma	kajɨma	kaɲema
160	louse	kɨwa	kɨwa	kɨβa
161	lung∼breathe (intr.)	putu	putu	pɨtu
162	macaw	aɾaɾa	aɾaɾa	aɾaɾa
163	manioc flour	ui	uwi	uʔí
164	many∼much	ʃita	tʃita	setá
165	mix (tr.)∼press	kamiki	kamika	kambɨka
166	monkey	kai	kaj	kaʔí
167	moon	jasɨ	jatsɨ	jasɨ
168	mosquito	jatiú	jatju	ɲatiʔũ
169	mourn	sapiɾu	tsapiɾu	sapiɾõ
170	mouse∼rat	sanuja	tsanuja	saujá
171	mouth	juɾu	juɾu	juɾu
172	nail (body part)	pɨsapi	pɨtsape	pɨsapẽ
173	name	iɾa	iɾa	eɾa
174	neck∼throat	jaʃuka	jatʃuka	aseoka
175	nephew	mɪmɨɾɨa	memɨɾɨa	membɨɾa
176	new	ɨpɨsasu	ɨpɨtsatsu	pɨsasu
177	night	ɨpɨsa	ɨpɨtsa	pɨsajé
178	nose	tii	ti	tĩ
179	obey (tr.)	sapiaɾi	tsapjaɾi	sapjaɾa
180	open (tr.)	ɪpɪka	epeka	peká
181	other	amua	amwa	amó
182	owner	jaɾa	jaɾa	jaɾa
183	paca	paka	paka	paka
184	paddle (n.)	japukuita	japukita	pukujtaβa
185	paint∼write	kwatiaɾa	kwatjaɾa	kwatiaɾa
186	path	pɪɪ	pe	pé
187	patio	ukaɾa	ukaɾa	okaɾa
188	peanut	munui	muni	manduβi
189	person	awa	awa	aβá
190	pet	mɨma	mɨma	emimbaβa
191	pineapple	nana	nana	naná
192	piranha	ipiɾai	ipiɾi	piɾaɲa
193	pit viper sp.	jaɾaɾaka	jaɾaɾaka	jaɾaɾaka
194	plant (tr.)	jatɨma	jatɨma	tɨma
195	poor	paɾiasu	paɾjatsu	poɾeausuβa
196	prey	miaɾa	mjaɾa	embiaɾa
197	rain	amana	amana	amana
198	red	pɨtani	pɨtani	piɾaŋa
199	rest (intr.)	japɨtu	japɨtu	putuʔú
200	return (intr.)	ɪɾɪwa	iɾiwa	jeɾeβa
201	river	paɾana	paɾana	paɾanã
202	roast (tr.)	mitʃiɾa	mitʃiɾa	miʃɨɾa
203	rock∼shake	wɨuta	wɨwɨta	moaɡwɨaɡwɨ
204	rope∼thread	inimu	inimu	inimbó
205	round	japua	japwa	apuʔã
206	sandfly	maɾiwi	maɾiwi	maɾiɡwí
207	sap∼cauim	kai	kaj	kawĩ
208	scrape (tr.)	kaɾai	kaɾi	kaɾãja
209	shaman	sumi	tsumi	sumé
210	shine (intr.)	pɪɾa	peɾa	βeɾaβa
211	shout	sasɨma	tsatsatsɨma	sasema
212	sing (intr.)	ikaɾa	ikaɾa	ɲeʔeŋaɾa
213	sister	kunia	kunja	kuɲã
214	sister-in-law (f. ego)	uki	uki	ukeʔí
215	sit (intr.)	japɨka	japɨka	ɡwapɨka
216	skin	piɾuaɾa	piɾwaɾa	piɾueɾa
217	sloth	aɨ	aɨ	aʔɨ
218	smell (intr., tr.)	sɪtuni	tsetuni	setuna
219	smoke (n.)	tatatini	tatatini	tatatiŋa
220	smoke food	mɪmukai	memuki	mokaʔẽ
221	smooth	ɨsɨma	ɨtsɨma	sɨma
222	snake	mui	muj	mboja
223	son (m. ego)	taɨɾɨa	taɨɾɨa	taʔɨɾa
224	sorubim sp.	suɾui	tsuɾi	suɾuβi
225	spicy	tai	taj	taja
226	spider	janu	janu	ɲanduĩ
227	spill∼pour	iʃini	itʃini	ena
228	spirit	mai	maj	mbaʔé
229	split (tr.)	pɪsɪ	petse	pesẽ
230	star	sɪsu	tsetsu	seiʃu
231	steal (tr.)	muna	muna	mondá
232	stem	ɨwa	ɨwa	ɨβa
233	stone	itakɨ	itaki	itakɨ
234	strain (tr.)	jumukua	jumuka	moɡwaβa
235	sound (v.)	ipu	ipu	pũ
236	sun	kwaɾaʃi	kwaɾatʃi	kwaɾasɨ
237	swallow (v.)	jumukuni	jumukuni	mokona
238	sweat (intr.)	sɨ ̃i	tsɨji	sɨʔaja
239	sweet	sɪɪ	tse	seʔẽ
240	sweet potato	itika	itika	jetɨka
241	tail	sũi	tsuwi	uaja
242	tapir	tapiɾa	tapiɾa	tapiʔíɾa
243	termite	kupia	kupea	kupiʔí
244	thigh	sɪtɨma	tsutɨma	etɨmã
245	thin	miɾi	miɾi	miɾĩ
246	thing	maɾai	maɾi	maɾã
247	thorn	jua	juwa	juatĩ
248	three	musapɨɾɨka	mutsapɨɾɨka	mosapɨt
249	throw	atika	itika	itɨka
250	thunder	tupana	tupa	tupana
251	tired	kaniú	kanju	kaneʔõ
252	tobacco	pɪtɨma	petɨma	petɨmbu
253	tongue	kumɨɾa	kumɨɾa	apekũ
254	tree	ɨwɨɾa	ɨwɨɾa	ɨβɨɾá
255	tooth	sai	tsaj	ãja
256	two	mukuika	mukujka	mokõj
257	urinate (intr.)	kwaɾuka	kwaɾuka	kaɾuka
258	village∼land	ɾitama	ɾitama	tetama
259	vine	iʃipu	itʃipu	ɨsɨpó
260	vulture	uɾupu	uɾupu	uɾuβu
261	vulva	tamatia	tamatja	tamatiʔá
262	wasp	kawa	kawa	kaβa
263	water	tɨa	tɨja	tɨ
264	white	tini	tini	tiŋa
265	white-lipped peccary	tajasu	tajatsu	tajasu
266	wide	ɪpɪwasu	epewatsu	pɨɡwasu
267	wife	miɾikua	miɾikwa	embiɾekó
268	wind	ɨwɨtu	ɨwɨtu	ɨβɨtu
269	wing	pɪpu	pepu	pepó
270	worm∼larva	sasuka	tsatsuka	sɨsoka
271	wrap	juana	juwana	uβana
272	yellow	iju	iju	juβa
273	yesterday	ikwaʃi	ikwatʃi	kweisé
274	young man	kunumi	kunumi	kuɾumĩ
275	young woman	kuniatai	kunjati	kuɲãtaĩ
