NUMBER	CONCEPT	OMAGUA	KOKAMA	TUPINAMBÁ
1	achiote	ɾuku	ɾuku	uɾuku
2	after	sakapɨɾɨ	tsakapɨɾɨ	takɨpwéɾi
3	afternoon	kaɾukatai	kaɾuka	kaɾuka
4	agouti	akuti	akuti	akuti
5	ají	ɨkɨi	ɨki	kɨʔɨɲa
6	all	upai	upi	opaβĩ
7	also∼already	awi	aj	aβé
8	angry	jumɨɾa	jumɨɾa	jemoɨɾõ
9	ant	sasɨwa	tsatsɨwa	tasɨβa
10	anteater	tamanu	tamana	tamanduá
11	arm	jɨwa	jɨwa	jɨβá
12	armadillo	tatu	tatu	tatu
13	arrive (intr.)	jauʃima	jawatʃima	ɡwasema
14	arrow	uwa	uwa	uʔúβa
15	ashes	tanimuka	tanimuka	tanimbuka
16	attach	ujaɾi	ujaɾi	jaɾa
17	aunt	jaiʃɪ	jajtʃi	ajʃé
18	axe	jɨɨ	jɨ	jɨ
19	back	jatukupɪ	jatukupe	atukupé
20	bad	aisɪ	ajtse	jeaseja
21	bat	anɨɾa	anɨɾa	andɨɾá
22	bathe (intr.)	jasuka	jatsuka	jasuka
23	be born (intr.)	uwaɾi	uwaɾi	aɾa
24	be dry	ikana	ikana	kaŋa
25	be fat	ɨkɨɾɨwasu	ɨkɨɾatsu	kɨɾá
26	be odorous	ʃapuni	tʃapuni	tɨapwana
27	be scared	ɨsɨi	ɨtse	sɨja
28	beard	muta	muta	amotaβa
29	beat	inupa	inupa	nupã
30	bed	tupa	tupa	tupaβa
31	belly button	mɨɾua	mɨɾwa	puɾuʔã
32	bent	japaɾa	japaɾa	apaɾa
33	big	wasu	watsu	ɡwasu
34	bird	wɨɾa	wɨɾa	ɡwɨɾá
35	bitter	iɾawa	iɾawa	ɾoβa
36	black	suni	tsuni	una
37	blood	suɨ	tsuwɨ	uɡwɨ
38	boil (tr.)	apupuɾi	apapuɾi	pupuɾa
39	bone	kanuaɾa	kanwaɾa	kaŋa
40	borrow	ɨpɨɾu	ɨpɨɾu	poɾu
41	brain	apɪtuma	apetúma	aputuʔuma
42	branch	sakama	tsakamɨ	akã
43	breast	kama	kama	kama
44	bring (tr.)	ɪɾuɾi	eɾuɾa	ɾuɾa
45	brother (f. ego)	kɨwɨɾa	kɨwɨɾa	kɨβɨɾa
46	burn	ukai	uki	kaja
47	burst	upuka	upuka	poka
48	bury (tr.)	jatɨma	jatɨma	tɨma
49	butterfly	panama	panama	panama
50	caiman	jakaɾi	jakaɾi	jakaɾé
51	call (tr.)	sapukui	tsapuki	sapukaja
52	candela∼fire	tata	tata	tatá
53	canoe	ɨaɾa	ɨɾaɾa	ɨɡaɾa
54	catfish	mani	mani	mandiʔí
55	chacra	kuu	ku	kó
56	chameleon	sɪnɪmu	tsenemu	senembɨ
57	chest	putia	putja	potiʔá
58	cicada	jakɨɾana	jakɨɾana	jakɨɾana
59	clay	tawa	tawa	taɡwá
60	cloud∼fog	ɨwɨtini	ɨwɨtini	ɨβɨtiŋa
61	cockroach	aɾawɪ	aɾawi	aɾaβé
62	collared peccary	taitatu	tajtatu	tajtetu
63	come (intr.)	uɾi	uɾi	uɾa
64	companion	ɪɾua	iɾwa	iɾũ
65	cook	ɨjɨ	ɨjɨ	jɨβa
66	copulate	mɪnuka	menuka	menõ
67	corn	awati	awati	aβati
68	cotton	amaniú	amanju	amaniju
69	cover (tr.)	jasai	jatse	asoʔí
70	cross	sasawa	tsatsawa	sasaβa
71	cry (intr.)	jaʃua	jatʃu	jaseʔó
72	cultivate (tr.)	kupɪ	kupe	kopiɾa
73	cure	musana	mutsana	posaŋa
74	cut	jasɨkata	jatsɨkataka	asɨka
75	cut hair	japina	japina	apina
76	cutbank	ɨwama	ɨwama	ɨβɨʔama
77	dance (intr.)	japuɾaʃi	japuɾatʃi	poɾaseja
78	daughter (m. ego)	taiɾa	tajɾa	tajɨɾa
79	dawn	kwɪma	kwema	koʔema
80	deep	tɨpɨ	tɨpɨ	tɨpɨ
81	deer	ɨsɨwasu	ɨtsɨwatsu	suɡwasu
82	defecate (intr.)	kapɪ	kape	kaʔapia
83	dig	ʃukai	tʃiwiki	sɨβɨkoja
84	door	jakina	jakina	okendaβa
85	drip (intr.)	atukɨra	atɨkɨɾɨ	tɨkɨɾa
86	drunk	saipuɾa	tsajpuɾa	saβeɨpoɾa
87	dry (v.)	tɨpa	tɨpa	tɨpaβa
88	dust∼sand	kui	kuj	kuj
89	ear	nami	nami	nambi
90	egg	supia	tsupja	upiʔá
91	encounter	sawiti	tsawiti	soβàitĩ
92	enter	aki	aki	eiké
93	eye∼face	sisa	tsitsa	esá
94	fall (intr.)	ukukui	ukuki	kuja
95	far	amusɪ	amutse	amõ
96	fat∼lard	ikawa	ikawa	kaβa
97	fellow man	japɪsaɾa	njapitsaɾa	apiʃaɾa
98	firefly	mua	muwa	mamuã
99	fish	ipiɾa	ipiɾa	piɾá
100	fish (tr.)	sɪkɨi	tsɨki	sekɨja
101	fish poison	timu	timu	timbó
102	fishing net	pɨsa	pɨtsa	pɨsá
103	flame (v.)	sɪnɪ	tsene	sendɨ
104	flat	pɪwa	pewa	peβa
105	fly	mɪɾu	meɾu	mbeɾu
106	fly (intr.)	uwɪwɪ	uwe	βeβé
107	foot	pɨta	pɨta	pɨtá
108	forest	kawa	kawa	kaʔá
109	forget (tr.)	sɨsaɾai	tsitsaɾi	sesaɾaja
110	four	ɪɾuaka	iɾwaka	iɾu
111	friend∼lover	tɨwasa	tɨwatsa	atɨβasaβa
112	frog	kuɾuɾu	kuɾuɾu	kuɾuɾu
113	fruit	ia	ija	ɨʔá
