ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Kokama-8_adamsapple-1-1,Kokama-8_adamsapple-1,uɾuɾu,2,false,expert,Lundgren2020,u ɾ u ɾ u,,
Tupinamba-876_indian-1-1,Tupinamba-876_indian-1,aβá,3,false,expert,Lundgren2020,- - - a β á,,
Tupinamba-876_indian-2-1,Tupinamba-876_indian-2,apɨaβa,3,false,expert,Lundgren2020,a p ɨ a β a,,
Tupinamba-877_indianfromanothergroup-1-1,Tupinamba-877_indianfromanothergroup-1,tapɨɨia,4,false,expert,Lundgren2020,t a p ɨ ʔ ɨ j a,,
Tupinamba-878_indianwoman-1-1,Tupinamba-878_indianwoman-1,kuɲã,5,false,expert,Lundgren2020,k u ɲ ã,,
Omagua-1119_none-1-1,Omagua-1119_none-1,jusuka,11,false,expert,Lundgren2020,j u s u k a,,
Kokama-1119_none-1-1,Kokama-1119_none-1,tsapu,10,false,expert,Lundgren2020,ts a p u,,
Kokama-1119_none-2-1,Kokama-1119_none-2,jatɨka,9,false,expert,Lundgren2020,j a t ɨ k a,,
Kokama-1119_none-3-1,Kokama-1119_none-3,kawiɾi,7,false,expert,Lundgren2020,k a w i ɾ i,,
Tupinamba-1119_none-1-1,Tupinamba-1119_none-1,kanindé,12,false,expert,Lundgren2020,k a n i nd é,,
Tupinamba-1119_none-2-1,Tupinamba-1119_none-2,ɨβɨ́ɾi,7,false,expert,Lundgren2020,- ɨ β ɨ́ ɾ i,,
Tupinamba-1119_none-3-1,Tupinamba-1119_none-3,koka,8,false,expert,Lundgren2020,- - k o k a,,
Tupinamba-1119_none-4-1,Tupinamba-1119_none-4,apina,6,false,expert,Lundgren2020,- - a p i n - - a - -,,
Tupinamba-1119_none-5-1,Tupinamba-1119_none-5,ɾoɨsaNa,13,false,expert,Lundgren2020,ɾ o ɨ s a ɴ a,,
Tupinamba-1119_none-6-1,Tupinamba-1119_none-6,aβɨkɨ,14,false,expert,Lundgren2020,a β ɨ k ɨ,,
Tupinamba-1119_none-7-1,Tupinamba-1119_none-7,pokoka,8,false,expert,Lundgren2020,p o k o k a,,
Tupinamba-1119_none-8-1,Tupinamba-1119_none-8,pɨtɨma,6,false,expert,Lundgren2020,- - - p ɨ t ɨ m a - -,,
